@relation clean_data_v2

@attribute WIND numeric
@attribute IND numeric
@attribute RAIN numeric
@attribute IND.1 numeric
@attribute T.MAX numeric
@attribute IND.2 numeric
@attribute T.MIN numeric
@attribute T.MIN.G numeric
@attribute MONTH numeric

@data
3.42,0,9.4,2,17,0,12.7,11.7,6
4.21,0,0.3,0,16.7,0,11.5,10.6,6
8.17,0,4.8,0,17.7,0,8.8,6.6,6
9.54,0,0.7,0,15.5,0,7.6,6.1,6
8.29,0,1.8,0,17.2,0,6.1,4.4,6
9.71,0,1.6,0,15.7,0,10.4,9.6,6
6.25,0,3.6,0,16.6,0,9,8.4,6
9.17,0,1,0,13.6,0,10.5,9,6
4.67,0,0.2,0,18,0,6.2,3.2,6
5.66,0,1.2,0,18.8,0,6.4,2.2,6
8.25,0,0.1,0,18.8,0,13.1,10.4,6
10.54,0,0.2,0,19.6,0,7.7,4.7,6
12.96,0,0.8,0,20,0,15,14.4,6
13.7,0,0,0,17.6,0,9.5,7.2,6
10.37,0,0,0,17.3,0,8.7,6.4,6
7.92,0,0,0,16.6,0,8.7,8.7,6
10.54,0,1.6,0,19.4,0,7.2,2.1,6
13.29,0,0,0,18.5,0,11.6,11.5,6
14.21,0,0,0,22.4,0,11.6,9.4,6
14.88,0,0,0,23,0,11.5,6.7,6
11.87,0,2.8,0,21.6,0,12.1,11.4,6
8.38,0,0,0,15.2,0,11.6,11.5,6
10.54,0,0,0,16.7,0,6.1,3.5,6
8.79,0,0,0,19.5,0,8.1,2.4,6
8.33,0,0,0,22.2,0,11.1,8.5,6
4.92,0,0,0,23.4,0,11.6,9,6
6.71,0,0,0,19.4,0,15.5,14.4,7
5.83,0,0,0,20.1,0,12.1,11.5,7
15.75,0,0.6,0,18.3,0,9.5,7.2,7
14.92,0,0,0,18.2,0,10.6,9.8,7
10.08,0,0,0,20,0,7.1,4.5,7
7.08,0,0.1,0,20.2,0,8,4.4,7
14.54,0,0.2,0,21.2,0,13.6,12.2,7
14.04,0,0,0,18.3,0,14.4,13.7,7
9.46,0,6.4,0,18.4,0,12.3,11.2,7
2.67,0,6.6,0,17.3,0,12.2,11.7,7
7.41,0,5.4,0,17.4,0,12.8,12.8,7
9.08,0,0.4,0,19,0,13.3,10.1,7
16.83,0,21.4,0,13.8,0,9,8.4,7
11.83,0,0.1,0,17.4,0,8.3,8.6,7
10.25,0,2.6,0,18.8,0,7.6,5.8,7
13.13,0,0.1,0,15.6,0,11,10.1,7
7.08,0,0,0,19.7,0,10.5,8.8,7
4.96,0,0,0,19.3,0,10.5,6.8,7
3.5,0,0,0,18.7,0,7.6,3.4,7
3.04,0,0,0,18.3,0,12.1,11.2,7
2.21,0,0,0,16,0,11.7,7.7,7
4.75,0,0,0,17.1,0,8.1,8.8,7
2.21,0,0,0,17.3,0,10,7.7,7
3.58,0,0,0,18.3,0,11.1,8.6,7
12.29,0,1.6,0,20.6,0,11.6,9.2,7
18.79,0,0,0,17.5,0,12.7,11.3,7
7.87,0,2.6,0,16.7,0,10.2,11.2,7
9.67,0,0,0,17.8,0,7.7,5.5,7
5.79,0,0,0,18.2,0,11.2,10.5,7
6.04,0,0,0,21.4,0,8.2,5.3,7
3.75,0,0,0,17.7,0,11.7,10.7,7
4.21,0,0.7,0,17.1,0,7.3,3.7,8
8.87,0,0.9,0,17.8,0,10.4,9,8
11.92,0,5.1,0,19.3,0,9.1,6,8
13.54,0,0,0,20.6,0,13.4,13.1,8
10.54,0,0,0,19.5,0,7.6,3.3,8
7.87,0,0.1,0,18.3,0,13.1,8.4,8
3.88,0,15,2,14.4,0,6.1,1.6,8
10.63,0,1.1,0,19,0,10,9.8,8
11.25,0,1.9,0,18.3,0,10.4,8.4,8
4.67,0,1.2,0,16.6,0,9,6.2,8
6.83,0,0.2,0,16.6,0,8.8,6.2,8
6.83,0,0.8,0,19.1,0,5.6,2.2,8
10.92,0,0.1,0,18.4,0,11.2,10.2,8
15.09,0,0.4,0,18.8,0,11.6,9.7,8
9.42,0,0.3,0,18.3,0,12.2,12,8
12.96,0,0,0,19,0,11.1,10.7,8
10.21,0,0.4,0,21.7,0,11.2,9.3,8
19.04,0,0.8,0,17,0,12.5,13.3,8
13.21,0,0.3,0,15.6,0,12,11.5,8
12.58,0,9.5,0,21,0,11.3,10.1,8
19,0,0.2,0,17.3,0,13,12.2,8
12.08,0,0,0,17.2,0,10.5,10.5,8
8.17,0,5,0,21.6,0,11.6,10.7,8
5.66,0,0,0,18,0,6.4,5,8
10.92,0,1.8,0,19.4,0,12.8,12.8,8
9.79,0,1.1,0,18.2,0,8.6,5.2,8
12.12,0,0,0,21.7,0,12.1,9.5,8
9.08,0,0,0,24.6,0,12.6,9.4,8
14.12,0,0,0,22.7,0,17.8,14.8,8
4.58,0,0,0,20,0,9.4,4.8,8
2.92,0,0.1,0,21.1,0,5,4.4,8
4.63,0,0.1,0,21,0,11.1,1.3,9
3.83,0,0.1,0,20.5,0,12.3,10.4,9
5.88,0,0,0,16.1,0,13.7,13.7,9
1.25,0,0,0,18.3,0,14.4,14.4,9
9.38,0,0.2,0,15.6,0,10.6,8.4,9
14.09,0,3.4,0,16.6,0,9.6,8.1,9
7.87,0,0,0,15.8,0,6.7,5,9
3.17,0,0,0,17.7,0,6.6,3.2,9
6.92,0,7.9,0,20.2,0,5.6,2.3,9
4.83,0,0,0,21.4,0,13.4,10.5,9
8.63,0,2.8,0,18.2,0,10.5,6.4,9
11.08,0,0.5,0,19.5,0,10,6.8,9
11.75,0,0.8,0,19.1,0,12.6,10.7,9
12.75,0,1,0,19.5,0,10.4,7.8,9
13,0,0.5,0,19.4,0,13.1,12.4,9
20.79,0,0,2,19.5,0,12.7,13.3,9
7.87,0,0,0,20,0,10.5,7.2,9
4.17,0,0.1,0,18.4,0,5.1,1.3,9
8.17,0,9,0,21.6,0,11.6,8.1,9
4.79,0,9.8,0,17.6,0,11.1,9.4,9
6.46,0,0,0,18.3,0,13.2,12.6,9
4.12,0,0.4,0,20.7,0,4.2,0.2,9
6.08,0,2.8,0,20.3,0,13.3,12.1,9
5.91,0,0,0,16.7,0,5.7,5,9
8.92,0,0,0,15.5,0,4.6,0.5,9
12.46,0,1.2,0,16.6,0,12.2,9.8,9
9.13,0,6.1,0,14.4,0,10.5,10,9
9.21,0,1.2,0,16.8,0,8,2.2,9
10.96,0,0,0,14.8,0,8.5,4.6,9
5.83,0,0.5,0,16,0,10.3,7.6,10
8.71,0,3.4,0,17.7,0,10.4,8.4,10
4.04,0,7.3,0,15.5,0,13.8,10.6,10
3.5,0,4,0,12.7,0,6.6,5.1,10
5.63,0,1.8,0,14.7,0,8.8,9.7,10
12.96,0,3,0,15,0,11,9.5,10
6.87,0,0.6,0,14.6,0,4.3,2.7,10
10.17,0,1.6,0,15.1,0,6.4,2.7,10
9.04,0,1.7,0,17.5,0,7.8,2.7,10
11.75,0,0.9,0,16.6,0,10.4,8.3,10
12.71,0,0.1,0,14.3,0,9,6.8,10
5.58,0,0,0,15.5,0,2,-1.5,10
9.92,0,0,0,17.8,0,5.7,2.6,10
2.96,0,0,0,15.6,0,8.8,0,10
9,0,0,0,13.8,0,2.5,2.3,10
14.58,0,2.2,0,12.2,0,6.5,4.1,10
22.17,0,0,0,12.6,0,8.8,7.3,10
21.84,0,0,0,12.3,0,6,4.5,10
13.21,0,1.1,0,9.6,0,5.7,3.5,10
12.08,0,0,0,10.7,0,2.5,-0.2,10
7.5,0,0.3,0,13.7,0,5,3.8,10
17.58,0,16.7,0,12.6,0,8.4,4.8,10
16.21,0,6.6,0,14.5,0,6,4.8,10
17.96,0,5.6,0,11.5,0,8.2,6.6,10
18.34,0,0.2,0,11.1,0,3.2,1.7,10
9.79,0,0,0,13.3,0,7.4,5.2,10
7.79,0,1.6,0,11.6,0,4.5,-0.4,10
9.75,0,0,0,11.7,0,3.7,1,10
9.42,0,0,0,10.4,0,1.5,-3.6,10
14.88,0,0,0,12.5,0,5,-1.1,10
15.25,0,0.5,0,15.4,0,8.3,8.4,10
13.08,0,0.3,0,15.4,0,7.7,3.1,11
15.83,0,0.5,0,11.7,0,8,5.4,11
11.21,0,0,0,8.2,0,2.2,-1.2,11
8.5,0,0,0,10.6,0,1.3,-2.4,11
10.79,0,0.4,0,13,2,3,2.736547,11
8.21,0,0,2,11.3,0,6.6,4.1,11
9.29,0,4.1,0,13.2,0,6.6,5.6,11
6.58,0,0,0,10,0,2.3,-1.6,11
8.21,0,0,0,9.5,1,-1,-6.3,11
7.71,0,0.3,0,6.1,1,-1.6,-6.6,11
12.12,0,0,0,8.6,1,-1.6,-5.5,11
13.04,0,0,0,10.5,0,0.8,-4.4,11
21.87,0,0,0,10.5,0,3.2,1.1,11
15.71,0,0,0,9.4,0,8,5.4,11
6,0,0,0,8.7,0,6.7,5.8,11
2.29,0,0.5,0,8.3,0,6.1,5,11
3.13,0,0.4,0,9.6,0,6,5.5,11
9.29,0,0,0,9.6,0,6.1,6.3,11
9.33,0,0,0,9.4,0,8.4,7.2,11
13.04,0,0,0,9.5,0,8.4,7.2,11
7,0,17.8,0,10.2,0,1.1,-2.7,11
9.17,0,0.7,0,12.3,0,1.6,2.736547,11
15.41,0,0,0,8.7,0,2.4,-0.5,11
16.17,0,0.9,0,10,0,3.3,2.736547,11
11.83,0,0,0,7.7,0,2.8,-0.2,11
6.34,0,8.6,0,8.1,1,-0.4,-5.4,11
5.83,0,1.2,0,6.8,2,0,2.736547,11
12.79,0,0.9,0,8.3,0,1.7,-1.7,11
15.29,0,12.5,0,12.6,0,3.5,4.2,11
16.5,0,5.8,0,13.1,0,6.6,6.7,11
7.25,0,0,0,5.5,0,4.6,3.3,12
12.21,0,3,0,7.2,0,0.3,-2.6,12
7.67,0,3.2,0,7.4,1,-3.2,-7.8,12
13.79,0,8.4,0,13.1,1,-2.2,2.736547,12
17.83,0,0.1,2,5,0,0.7,-1.4,12
12.62,0,0,0,3.3,1,-0.4,-3.1,12
8.87,0,4.5,0,5.5,1,-5.4,-10.4,12
19.83,0,4.2,0,11.5,1,-5,2.736547,12
10.04,0,3.4,0,13.3,0,5.1,0.1,12
18.84,0,4.6,0,14,0,5.1,0.4,12
16.83,0,3.3,0,13.4,0,9.1,7.5,12
16.66,0,0.2,2,13.5,0,7.8,2.5,12
9.38,0,0.1,0,12.7,1,-1.1,-5.5,12
10.71,0,0,0,13.2,1,-0.5,2.736547,12
6.92,0,0,0,11.2,0,7.8,3.3,12
9.54,0,0,0,9,0,4.8,1.6,12
4.79,0,0,0,4.4,1,-2.7,-8.3,12
3.54,0,0,0,2.1,1,-5,-8.5,12
3.63,0,0,0,6.1,1,-5.5,-9,12
4.33,0,0,0,6.2,1,-5,-6.7,12
13.59,0,0,0,6.8,1,-1.6,2.736547,12
18.12,0,0,2,5,0,3.8,3.4,12
8.5,0,0,0,2.6,1,-0.5,-5.1,12
11.92,0,0,2,5,1,-2.7,-10.7,12
17.12,0,0,0,5,0,0.7,-0.5,12
2.92,0,0,0,3.3,1,-3.2,-9.4,12
8.96,0,0,0,3.8,1,-5.2,-10,12
15,0,0,2,3,1,-5,-8.6,12
17.29,0,0,0,1.7,0,0.1,0,12
10.04,0,1.3,0,1.5,1,-11,-13.4,12
10.41,0,0,0,1.2,1,-10.7,2.736547,1
8.46,0,0,1,-0.1,1,-7.8,-10.5,1
4.58,0,0,0,1.8,1,-8.1,-8.8,1
5.5,0,0,0,6,1,-3.8,2.736547,1
15.29,0,1.8,0,9.1,1,-2.3,-7.1,1
8.46,0,2.1,0,11.6,0,4.6,2.4,1
14.29,0,0,0,8.8,0,4.5,0.6,1
17.71,0,6.8,0,10.8,0,6.2,3.3,1
15.29,0,0,0,6.2,0,3.1,0.5,1
14.29,0,4.2,0,12.5,0,1.7,-1.1,1
19.7,0,0,0,5.5,0,0,-1.2,1
12.42,0,0.1,0,8.6,0,0.5,-2.6,1
20.38,0,7.8,0,11.5,0,0.8,-0.3,1
19.75,0,2.7,0,8.1,0,2.6,-0.5,1
22.79,0,1,0,8.6,0,2.8,3.8,1
12.46,0,0,0,8.3,0,1.1,-2.7,1
16.08,0,1.1,0,9.8,0,2.2,1.6,1
10.29,0,1.1,0,11.1,0,4.2,1.8,1
17.29,0,2.4,0,8.8,0,5.5,3.8,1
12.71,0,2.6,0,11.2,0,2.3,-0.4,1
17.25,0,1,0,11.7,0,3.3,1.1,1
18.29,0,0,0,11.3,0,7.2,5.4,1
7.41,0,0.9,0,8.7,0,7,4.7,1
5.17,0,0,0,7.7,0,4.6,1.8,1
3.63,0,0,0,8.2,0,5.6,5,1
2.17,0,0,0,10.2,0,5.5,4.5,1
13.33,0,0.3,0,11.1,0,1.1,-2.7,1
22.42,0,2,0,12.2,0,6.1,2.736547,1
15.71,0,0.3,0,7.4,0,1.6,-0.5,2
13.17,0,0.8,0,10,0,2.1,1.1,2
15.96,0,0,0,10.7,0,3.6,-1.7,2
18.88,0,4,0,10.2,0,3.8,1.1,2
15.75,0,0,0,10.7,0,3.3,0.4,2
18.75,0,2.6,0,11.6,0,3.8,1.8,2
8.21,0,0.1,2,10,0,1.7,-1.4,2
12.08,0,0,0,11.2,2,1.7,2.736547,2
14.96,0,1.1,0,10.5,0,6.8,6,2
15.79,0,2.7,0,6.1,0,2,-0.1,2
11.71,0,0,0,6.8,1,-1.1,-4,2
14.12,0,0,0,10.5,0,3.1,2.4,2
8.29,0,0,0,9.8,0,3.8,-0.8,2
7.92,0,0,0,10.8,0,6.2,2.2,2
1.46,0,0,0,10.6,0,4.8,2.7,2
7.04,0,0,0,9.5,0,6.1,5.4,2
15.29,0,0,0,6.6,0,2.7,-2.3,2
20.21,0,0,0,4,0,3.2,-0.5,2
18.12,0,0,0,5.7,0,2.2,1.1,2
22.63,0,0.4,0,4.6,0,2.3,1.7,2
13.88,0,5.5,0,3.6,1,-0.5,-1.1,2
7.96,0,1.1,0,3.5,0,0,-0.1,3
9.59,0,0.5,0,5.5,0,0.1,-1.6,3
6.71,0,5,0,1,1,-6,-5.4,3
5.33,0,0,0,3.3,1,-7.4,-8.8,3
5.79,0,0,0,6.1,1,-6.2,-12,3
8,0,0,0,6.1,1,-6.6,-12,3
18,0,13.9,0,6.2,0,1.2,0.3,3
9,0,6,0,9.2,0,2.7,1.6,3
3.83,0,7.7,0,8.3,0,5.8,6.6,3
10.92,0,2.7,2,5.5,0,4.5,4.5,3
7.71,0,0,0,6.1,0,3.1,1.1,3
6.83,0,0,0,5.7,1,-2.7,-7.2,3
4,0,0,0,5.4,1,-3.8,-10,3
16.54,0,3,0,5.6,0,0.2,-3.2,3
12.58,0,0,0,6.1,0,1.7,1.8,3
7.71,0,0,0,7.2,0,3.5,2.3,3
5.79,0,0,0,11.6,1,-4.2,-9.2,3
9.04,0,0,0,6.7,1,-0.5,-6.3,3
7.67,0,0,0,9.4,1,-1.6,-6.4,3
6.71,0,0,0,6.5,0,2.2,-2.3,3
5.96,0,0.5,0,9.3,1,-1.5,-6.6,3
9.42,0,0,0,6.8,0,2.5,-0.5,3
3.5,0,0.2,0,6.8,0,2.6,0,3
19.41,0,2.3,0,10.2,0,2.7,1.5,3
14.88,0,0.3,0,12.6,0,2.8,1.7,3
9.92,0,0.2,0,11.1,0,1.6,-2.2,3
13.54,0,4.4,0,10.1,1,-2.1,-7.7,3
10.83,0,1.2,0,13.6,0,3.2,2.2,3
13.75,0,0.3,0,9.3,0,0.8,-3.8,3
16.42,0,0.4,0,9.2,1,-0.1,-4.3,3
19.79,0,2.7,0,8.6,0,1.4,-2,4
20.83,0,5.2,0,9.8,0,2.4,-0.1,4
10.67,0,4,0,12.1,0,3.4,0,4
17.83,0,3.8,0,10.2,0,1.7,-1.1,4
22.42,0,1.7,0,9.3,0,4.4,3,4
17.08,0,1.1,0,10.8,0,1.1,-1.1,4
22.5,0,1.5,0,13.1,0,5.4,5.5,4
18.25,0,6.1,0,10.5,0,2.2,0.3,4
16.21,0,3.8,0,9.4,0,3,1.3,4
12.04,0,1.8,0,11.1,0,4.5,4.3,4
14.12,0,0.1,0,12.3,0,6.6,5.6,4
3.79,0,0,0,10.5,0,5,3.4,4
6.58,0,0,0,10.6,1,-1.1,-5.2,4
11.42,0,0,0,8.2,0,1.7,-3.7,4
13.83,0,0,0,7.6,0,1.8,-3.1,4
15.34,0,0.5,0,9.1,0,1.6,-2.8,4
14.83,0,3.3,0,9,0,5.4,5.3,4
11.71,0,0.8,0,8.4,0,5.7,4.3,4
6.21,0,0,0,12,0,6.1,5.6,4
6.17,0,0.2,0,12.2,0,3.3,-0.4,4
3.58,0,7.4,0,11.1,0,3.3,-1.1,4
8.58,0,0,0,14.8,0,0.2,-4.3,4
8.96,0,0,0,13.1,0,6.1,2.7,4
5.79,0,0,0,16.8,0,7.2,5.3,4
5.83,0,0,0,15,0,3.3,-1.4,4
7.67,0,0,0,15.8,0,5.8,0.6,4
6.42,0,0,0,13.2,0,5.1,-0.5,4
5.17,0,0,0,15.5,0,0.7,-2.1,4
5.37,0,0,2,13,0,3.4,-1.1,4
5.41,0,0,0,13.6,0,1.1,-2.2,4
2.25,0,0,0,13.8,0,2,-1.3,5
4,0,0,0,15.7,0,2.8,-1.4,5
3.5,0,0,0,15.7,0,2.7,-0.7,5
5.83,0,0,0,16.7,0,8.8,8.3,5
4.88,0,7.9,0,18.8,0,8.8,9.4,5
14.09,0,0.3,0,18.6,0,10.3,7.1,5
11.34,0,2,0,16.7,0,11.5,6.6,5
7.04,0,2.6,0,13.3,0,5.5,-0.5,5
5.96,0,6.9,0,14.3,0,5,-1.1,5
11.04,0,1.6,0,14,0,6.2,3.1,5
10.46,0,0.3,0,13.3,0,6.6,1.1,5
8.75,0,0,0,16.5,0,3.2,-1.6,5
13.79,0,0,0,17.4,0,10.2,7.6,5
9.83,0,3.5,0,14.5,0,8.5,4.6,5
18.05,0,2.8,0,13.6,0,4.8,2.3,5
11.21,0,27,0,13.4,0,5.8,3.2,5
17.12,0,1.6,0,12.4,0,5.5,5,5
12.42,0,0.9,0,12.8,0,4.4,-0.5,5
11.63,0,1.5,0,16.1,0,4.5,4.6,5
16,0,0,0,15.8,0,6.6,0.6,5
16.42,0,0.4,0,14.8,0,5.8,4.4,5
11.67,0,0.1,0,13.8,0,4.4,2.2,5
8,0,0,0,11,0,2.3,-0.4,5
7.46,0,0,0,11,0,4.1,1.2,5
9.92,0,0,0,12.3,0,5.2,3.3,5
6.83,0,3.8,0,14.4,0,5.2,1.7,5
6.75,0,0.1,0,10.7,0,9,8.6,5
7.17,0,0,0,15.6,0,2.6,-0.5,5
7.83,0,0,0,11.7,0,2.5,-0.8,5
5.91,0,0,0,14,0,1.1,-2.6,6
3.17,0,0,0,14.5,0,2.5,-0.4,6
3,0,0,0,15.6,0,5.5,1.1,6
3.33,0,0,0,16.4,0,4.5,1.8,6
8.21,0,0,0,16.7,0,4.6,1.1,6
6.08,0,0,0,20.1,0,4.8,1.1,6
3.83,0,0,0,21.7,0,8.5,5.5,6
5.41,0,0,0,22.7,0,10.6,8.1,6
8.29,0,0,0,19.1,0,11.1,7.8,6
6.5,0,4.4,0,15.1,0,7.6,4.3,6
7.96,0,2.3,0,16.2,0,9.1,8.3,6
9.08,0,0,0,20.1,0,11.4,10.7,6
9.62,0,0,0,15.6,0,8.8,5.6,6
14,0,0.2,0,16.8,0,13.3,11.5,6
